hallo,hello
goedemorgen,good morning
goedemiddag,good afternoon
goedenavond,good evening
welterusten,good night
tot ziens,goodbye
tot straks,see you later
ja,yes
nee,no
alsjeblieft,please
dank je wel,thank you
graag gedaan,you're welcome
pardon,excuse me
hoe gaat het,how are you
ik begrijp het niet,I don't understand
ik weet het niet,I don't know
spreekt u Engels,do you speak English
hoeveel kost het,how much is it
waar is het station,where is the station
proost,cheers
eet smakelijk,enjoy your meal
