# Groente en fruit
De pruim,plum
Groente,vegetables
De spitskool,pointed cabbage
Het bietje,beetroot
Het boontje,green bean
De banaan,the banana
De druif,the grape
De perzik,the peach
De mango,the mango
De komkommer,cucumber
De tomaat,tomato
De paprika,bell pepper
De andijvie,endive
De sla,lettuce
Het spruitje,Brussels sprout
De wortel,carrot
De champignon,mushroom
De ui,onion
De lente-ui,spring onion
De (zoete) aardappel,(sweet) potato
De broccoli,broccoli
De bloemkool,cauliflower
De aubergine,eggplant (US) / aubergine (UK)
De courgette,zucchini (US) / courgette (UK)
De spinazie,spinach
De knoflook,garlic
Fruit,fruit
De appel,the apple
De aardbei,strawberry
De blauwe bes,blueberry
De framboos,the rasberry
De citroen,the lemon
De kers,the cherry
De watermeloen,the watermelon
De kiwi,the kiwi
De ananas,the pineapple
