# Nederlands in gang, hoofdstuk 5: Op de markt
boodschappen doen,go shopping
de markt,market
de groenteboer,greengrocer
er,there
wie is er aan de beurt?,who's next?
de beurt,turn
alsjeblieft,please
kleine (klein),small
de courgette,courgette
gele (geel),yellow
mooie (mooi),nice
paprika's (de paprika),"bell peppers, sweet peppers"
tomaten (de tomaat),tomatoes
altijd,always
sorry,sorry
(na)tuurlijk,of course
anders nog iets?,anything else?
typisch,typical
het gerecht,dish
buitenlanders (de buitenlander),foreigners
de andijvie,endive
de stamppot,mashed potato and vegetables
spekjes (het spekje),bacon
vaak,often
heerlijk,delicious
goedkope (goedkoop),cheap
hoeveel,how much
heb nodig (nodig hebben),need
personen (de persoon),people
ongeveer,about
halve (half),half
de kilo,kilo
aardappels (de aardappel),potatoes
de slager,butcher
was (zijn),was
de bloemkool,cauliflower
het bakje (de bak),punnet
champignons (de champignon),mushrooms
de peterselie,parsley
het bosje (de bos),bunch
verder nog iets?,anything else?
boontjes (het boontje),beans
verse (vers),fresh
de knoflook,garlic
komkommers (de komkommer),cucumbers
de euro,euro
wel,quite
genoeg,enough
waarnaartoe,where to
de cent,cent
erbij,with it
prettig,nice
het weekend,weekend
geeft niet,doesn't matter
