# Nederlands in gang, hoofdstuk 6: In een restaurant
de vriendin,female friend
het restaurant,restaurant
de serveerster,waitress
de tafel,table
ons,us
bij,by
het raam,window
gaan zitten,to sit down
de menukaart,menu
alvast,in the meantime
te,to
het mineraalwater,mineral water
ik heb dorst,I am thirsty
de dorst,thirst
mij,me
alleen,only
het hoofdgerecht,main course
ik heb honger,I am hungry
de honger,hunger
het voorgerecht,starter
misschien,maybe
het nagerecht,dessert
de mosterdsoep,mustard soup
de mosterd,mustard
de soep,soup
erg,very
als,as
de biefstuk,steak
frietjes,fries
eh,um
de salade,salad
de kip,chicken
de rijst,rice
oh nee,oh no
geen,not any
het vlees,meat
toch,after all
vegetarisch,vegetarian
de dagschotel,dish of the day
kiezen,to choose
eet smakelijk,enjoy your meal
het mes,knife
de vork,fork
momentje,just a moment
de lepel,spoon
halen,to fetch
een beetje,a little
moeilijk,difficult
het gaat wel,so-so
de soort,kind
de paella,paella
houden van,to like
de mosselen,mussels
proeven,to taste
wat,somewhat
vet,fatty
het toetje,dessert
het ijs,ice cream
de vrucht,fruit
de chocola,chocolate
de slagroom,whipped cream
zonder,without
de cappuccino,cappuccino
de rekening,bill
laat de rest maar zitten,keep the change
laten,to let
dank u wel,thank you
de avond,evening
